ID,섹션,케이스 유형,테스트 시나리오,기대 결과,우선순위,출처,사전 조건,테스트 결과 (Status),기획 보완 필요 여부,비고
TC-012,반려동물 프로필 등록,엣지,반려동물 1마리만 등록된 상태에서 해당 프로필 삭제 시도,"삭제 확인 다이얼로그 표시 → 확인 후 삭제 완료 / 연결된 캐릭터·일기 모두 삭제 / 빈 상태 화면 전환",P1,기획서기반,로그인 상태 / 반려동물 1마리만 등록,NT,Y,삭제 시 연결 데이터 삭제 정책 명시됨 / 삭제 확인 다이얼로그 문구·경고 문구 미명시
TC-013,반려동물 프로필 등록,해피,등록된 프로필의 이름 및 대표 사진 수정 후 저장,수정 내용이 프로필 목록 및 상세 화면에 즉시 반영,P1,기획서기반,로그인 상태 / 기존 프로필 1개 이상 등록,NT,N,기본 정보·사진 언제든 수정 가능 명시
TC-014,반려동물 프로필 등록,엣지,대표 사진 업로드 진행 중 네트워크 연결 차단,"사진 업로드 중단 + 실패 안내 노출",P1,AI추가,로그인 상태 / 대표 사진 업로드 진행 중,NT,Y,업로드 중 네트워크 단절 시 재시도 정책 및 오류 문구 기획서 미명시
TC-015,AI 캐릭터 생성,해피,"선명한 대표 사진 등록 + 성격 키워드 1개 선택 후 AI 캐릭터 만들기 버튼 클릭","60초 내 정면·측면·정수리 3종 캐릭터 이미지 카드 표시 + 성격 요약 문구 / 저장 버튼 활성화",P0,기획서기반,로그인 상태 / 선명한 대표 사진 등록 완료,NT,N,AC-1 직접 변환
TC-016,AI 캐릭터 생성,해피,"성격 키워드 3개(최대) 선택 후 캐릭터 생성 → ""내 캐릭터로 저장"" 클릭","캐릭터 저장 완료 / 프로필·일기·커뮤니티에서 해당 캐릭터 사용 가능",P0,기획서기반,로그인 상태 / 대표 사진 등록 완료,NT,N,성격 키워드 최대 3개 경계값 검증
TC-017,AI 캐릭터 생성,인해피,대표 사진 미등록 상태에서 AI 캐릭터 만들기 버튼 클릭,"""대표 사진을 먼저 등록해 주세요"" 팝업 + [사진 등록하기] 버튼 노출",P1,기획서기반,로그인 상태 / 반려동물 프로필 등록(사진 미업로드),NT,N,v2 수치·정책 기준 명시
TC-018,AI 캐릭터 생성,인해피,반려동물 얼굴이 가려진 저품질 이미지로 캐릭터 생성 요청,"""사진을 분석할 수 없습니다. 반려동물의 얼굴이 잘 보이는 사진으로 다시 시도해 주세요"" 오류 팝업 / 앱 크래시 없음",P1,기획서기반,로그인 상태 / 저품질 이미지(얼굴 가림) 등록 완료,NT,N,AC-2 직접 변환
TC-019,AI 캐릭터 생성,엣지,캐릭터 생성 로딩 중 네트워크 연결 차단,"""네트워크 연결이 끊겼습니다"" 배너 + ""다시 시도"" 버튼 노출 / 해당 시도 재생성 횟수 미차감",P0,기획서기반,캐릭터 생성 로딩 화면 진행 중,NT,N,AC-3 직접 변환
TC-020,AI 캐릭터 생성,인해피,"당일 재생성 3회 소진 후 ""다시 생성"" 버튼 클릭 시도","버튼 그레이아웃 비활성화 + ""오늘 재생성 횟수를 모두 사용했습니다 (0/3)"" 문구 노출",P1,기획서기반,로그인 상태 / 당일 재생성 3회 소진,NT,N,AC-4 직접 변환
TC-021,AI 캐릭터 생성,엣지,AI 서버 60초 타임아웃 발생 시 캐릭터 생성 결과,"""캐릭터 생성에 실패했습니다. 잠시 후 다시 시도해 주세요"" 팝업 / 재생성 횟수 미차감 / 앱 크래시 없음",P0,기획서기반,AI 서버 타임아웃 시뮬레이션 환경,NT,N,AC-5 직접 변환
TC-022,AI 캐릭터 생성,엣지,재생성 2회 소진 후 마지막 1회 성공 시 잔여 횟수 표시 확인,"버튼 하단 잔여 횟수 ""0/3"" 정상 표시 / 다시 생성 버튼 비활성화",P1,기획서기반,로그인 상태 / 당일 재생성 2회 소진,NT,N,잔여 횟수 항상 표시 정책 검증
TC-023,AI 캐릭터 생성,엣지,"KST 자정(00:00) 경과 직후 재생성 횟수 초기화 확인","잔여 횟수 버튼 하단 ""3/3""으로 초기화 표시",P1,기획서기반,전날 재생성 횟수 소진 / KST 자정 경과 직후,NT,N,초기화 시점 KST 자정 명시
TC-024,AI 캐릭터 생성,엣지,"캐릭터 생성 완료 후 ""내 캐릭터로 저장"" 없이 뒤로 이탈",생성된 캐릭터 미저장 / 기존 저장 캐릭터 유지 / 재진입 시 이전 생성 결과 미노출,P1,AI추가,캐릭터 생성 완료 화면,NT,Y,미저장 이탈 시 생성 결과 보존 여부 및 재생성 횟수 차감 여부 기획서 미명시
TC-025,AI 캐릭터 생성,엣지,캐릭터 생성 중 앱 강제종료 후 재진입,생성 재시작 또는 결과 복구 안내 표시 / 재생성 횟수 미차감 여부 확인,P1,AI추가,캐릭터 생성 로딩 진행 중,NT,Y,강제종료 시 재생성 횟수 서버 관리 여부 미명시 (네트워크 오류 미차감만 AC 명시)
TC-026,AI 캐릭터 생성,인해피,성격 키워드 0개 선택 상태에서 AI 캐릭터 만들기 버튼 클릭,키워드 미선택 차단 안내 또는 0개 허용 처리 확인,P1,AI추가,로그인 상태 / 대표 사진 등록 완료,NT,Y,성격 키워드 최대 3개만 명시 / 최소 선택 수(0개 허용 여부) 미명시
TC-027,AI 캐릭터 생성,엣지,재생성 횟수 1회 잔여 상태에서 생성 중 네트워크 단절 → 재시도 성공,재시도 성공 시 잔여 횟수 1회 정상 차감 확인,P1,기획서기반,재생성 횟수 1회 잔여 / 네트워크 불안정 환경,NT,N,네트워크 오류 미차감 + 재시도 성공 시 차감 복합 시나리오
TC-028,AI 캐릭터 생성,해피,캐릭터 생성 중 로딩 화면 진행률(%) 및 예상 완료 시간 표시 확인,"로딩 화면에 진행률(0~100%) 숫자 및 예상 완료 시간 문구 정상 표시",P2,기획서기반,캐릭터 생성 로딩 진행 중,NT,N,화면 상태 정의 로딩 케이스 직접 검증
TC-029,AI 일기 자동작성,해피,캐릭터 생성 완료 상태에서 감정 키워드 선택 후 수동 일기 생성 버튼 클릭,"200~400자 1인칭 일기 텍스트 자동 생성 / 일기장 탭에 해당 날짜로 저장",P0,기획서기반,로그인 상태 / 캐릭터 생성 완료,NT,N,AC-1 직접 변환
TC-030,AI 일기 자동작성,인해피,감정 키워드 미선택 상태에서 일기 생성 버튼 클릭,"""오늘의 감정 키워드를 선택해 주세요"" 토스트 메시지 화면 하단에 3초간 노출 / 일기 생성 차단",P1,기획서기반,로그인 상태 / 캐릭터 생성 완료,NT,N,AC-2 직접 변환
TC-031,AI 일기 자동작성,인해피,"캐릭터 미생성 상태에서 ""오늘의 일기 쓰기"" 버튼 클릭","""캐릭터를 먼저 생성해 주세요"" 팝업 + [캐릭터 만들기] 버튼 → 클릭 시 캐릭터 생성 화면 이동",P1,기획서기반,로그인 상태 / 반려동물 프로필 등록 완료 / 캐릭터 미생성,NT,N,AC-3 직접 변환
TC-032,AI 일기 자동작성,엣지,기기 시간대 UTC+0 설정 상태에서 서버 KST 오후 9시 도달 시 자동 일기 생성,기기 로컬 시간과 무관하게 KST 기준으로 자동 일기 생성 트리거 정상 동작,P1,기획서기반,캐릭터 생성 완료 / 기기 UTC+0 설정,NT,N,AC-4 직접 변환 / KST 서버 기준 명시
TC-033,AI 일기 자동작성,엣지,일기 생성 진행 중 앱 강제 종료 후 재진입(생성 미완료),"""일기 생성이 완료되지 않았습니다. 다시 생성하시겠습니까?"" 팝업 노출",P1,기획서기반,일기 생성 로딩 진행 중,NT,N,AC-5 미완료 분기 / 원자성 정책 명시
TC-034,AI 일기 자동작성,엣지,일기 생성 완료 직후 앱 강제 종료 후 재진입,일기장 탭에 완료된 일기 자동 저장 확인 / 복구 팝업 미노출,P0,기획서기반,일기 생성 완료 직후 앱 강제 종료,NT,N,AC-5 완료 분기 / 생성 완료 후 저장 보장 명시
TC-035,AI 일기 자동작성,해피,앱 언어 설정 영어로 변경 후 일기 생성,영어로 일기 텍스트 생성 / 변경 이전 일기는 한국어 유지,P1,기획서기반,로그인 상태 / 캐릭터 생성 완료 / 앱 언어 영어 설정,NT,N,언어 변경 이후 생성 일기부터 적용 / 소급 없음 명시
TC-036,AI 일기 자동작성,해피,생성된 일기 텍스트 직접 수정 후 저장,수정 내용이 일기장에 저장 반영,P1,기획서기반,로그인 상태 / 일기 1건 이상 생성 완료,NT,N,사용자 직접 수정 가능 명시
TC-037,AI 일기 자동작성,해피,생성된 일기 삭제,일기장에서 해당 날짜 일기 삭제 / 빈 상태 화면 전환,P1,기획서기반,로그인 상태 / 일기 1건 이상 존재,NT,N,사용자 직접 삭제 가능 명시
TC-038,AI 일기 자동작성,엣지,오늘 일기가 이미 존재하는 상태에서 수동 일기 생성 재시도,중복 생성 허용 또는 차단 처리 확인,P1,AI추가,로그인 상태 / 오늘 일기 1건 이상 존재,NT,Y,하루 일기 중복 수동 생성 허용 여부 기획서 미명시
TC-039,AI 일기 자동작성,엣지,일기 0건 상태에서 일기장 탭 진입,"""오늘의 일기가 없어요"" 문구 + ""오늘의 일기 쓰기"" CTA 버튼 노출",P2,기획서기반,로그인 상태 / 일기 0건,NT,N,v2 빈 상태 화면 정의 명시
TC-040,AI 일기 자동작성,엣지,일기 생성 중 네트워크 단절,"""일기 생성에 실패했습니다. 다시 시도해 주세요"" 팝업 노출 / 일기 미저장",P1,AI추가,일기 생성 로딩 진행 중,NT,Y,생성 실패 팝업 정의됨 / 재생성 시 키워드 재선택 필요 여부 미명시
TC-041,커뮤니티 피드,해피,"본문 100자 + 첨부 이미지 1장 + 해시태그 2개 입력 후 게시 버튼 클릭","피드에 게시물 즉시 노출 / 해시태그 링크 활성화 / 좋아요·댓글 버튼 표시",P0,기획서기반,로그인 상태 / 캐릭터 생성 완료,NT,N,AC-1 직접 변환
TC-042,커뮤니티 피드,인해피,본문과 첨부 파일 모두 없는 상태에서 게시 버튼 클릭,게시 버튼 그레이아웃 비활성화 유지 / 클릭 불가,P1,기획서기반,로그인 상태,NT,N,AC-2 직접 변환
TC-043,커뮤니티 피드,인해피,해시태그 10개 입력 완료 후 11번째 해시태그 입력 시도,"입력 필드 비활성화 + ""최대 10개까지 입력 가능합니다"" 토스트 메시지 노출",P1,기획서기반,로그인 상태,NT,N,AC-3 직접 변환
TC-044,커뮤니티 피드,인해피,본문 500자 입력 완료 후 501번째 글자 입력 시도,입력 차단 / 잔여 글자 수 0 표시,P1,기획서기반,로그인 상태,NT,N,AC-4 직접 변환
TC-045,커뮤니티 피드,엣지,캐릭터 또는 일기를 첨부한 게시물에서 원본 삭제 후 게시물 조회,"""삭제된 콘텐츠입니다"" 회색 플레이스홀더 표시 / 앱 크래시 없음",P1,기획서기반,게시물 존재 / 첨부 원본 삭제 완료,NT,N,AC-5 직접 변환
TC-046,커뮤니티 피드,해피,최신순·인기순 정렬 탭 전환,전환 즉시 해당 기준으로 피드 재정렬,P1,기획서기반,로그인 상태 / 게시물 2건 이상,NT,N,정렬 선택 가능 명시
TC-047,커뮤니티 피드,해피,피드 하단 스크롤 도달 시 추가 게시물 로드,기존 목록 하단에 추가 게시물 20개 로드 / 스켈레톤 UI → 콘텐츠 전환,P1,기획서기반,로그인 상태 / 게시물 21건 이상,NT,N,무한 스크롤 20개 단위 명시
TC-048,커뮤니티 피드,해피,다른 사용자 프로필 클릭,해당 사용자 게시물 모아보기 화면 이동,P1,기획서기반,로그인 상태 / 피드에 다른 사용자 게시물 노출,NT,N,다른 사용자 프로필 조회 기능 명시
TC-049,커뮤니티 피드,해피,닉네임 검색 → 해당 사용자 팔로우 → 피드 진입,팔로우한 사용자 신규 게시물 피드 우선 노출,P1,기획서기반,로그인 상태,NT,N,팔로우 후 피드 우선 노출 명시
TC-050,커뮤니티 피드,엣지,팔로우 0명 신규 계정의 피드 Empty State 진입,"""아직 게시물이 없어요"" 문구 + ""다른 반려인 찾기"" CTA 버튼 노출",P2,기획서기반,신규 가입 / 팔로우 0명,NT,N,v2 빈 상태 화면 정의 명시
TC-051,커뮤니티 피드,엣지,이미지 첨부 4장 완료 후 5번째 이미지 첨부 시도,추가 첨부 버튼 비활성화 또는 한도 초과 안내 노출,P1,기획서기반,로그인 상태 / 이미지 4장 첨부 완료,NT,Y,이미지 4장 한도 명시됨 / 초과 시 차단 방식 및 오류 문구 미명시
TC-052,커뮤니티 피드,엣지,피드 로드 중 네트워크 오류 발생,"""게시물을 불러올 수 없습니다"" + [다시 시도] 버튼 노출",P1,기획서기반,네트워크 불안정 환경,NT,N,화면 상태 에러 케이스 직접 변환
TC-053,커뮤니티 피드,인해피,게시 중 네트워크 단절로 게시 실패,"""게시에 실패했습니다. 다시 시도해 주세요"" 토스트 3초 노출",P1,기획서기반,로그인 상태 / 게시 중,NT,N,화면 상태 에러 케이스 직접 변환
TC-054,커뮤니티 피드,엣지,해시태그·닉네임 모두 없는 키워드 검색 결과 없음 상태,검색 결과 없음 화면 및 안내 문구 노출,P2,AI추가,로그인 상태,NT,Y,검색 결과 없음 Empty State 문구 기획서 미명시
TC-055,커뮤니티 피드,엣지,공백만 입력하여 검색 시도,공백 입력 차단 또는 검색 실행 불가 처리 확인,P1,AI추가,로그인 상태,NT,Y,공백 검색 처리 정책 기획서 미명시
TC-056,알림,해피,"좋아요 알림 ON / OS 푸시 권한 허용 상태에서 내 게시물에 좋아요 발생","기기 잠금 화면 및 알림 센터에 푸시 즉시 수신 / 앱 내 알림 탭에 내역 기록",P1,기획서기반,로그인 상태 / 좋아요 알림 ON / OS 권한 허용,NT,N,AC-1 직접 변환
TC-057,알림,해피,일기 생성 알림 ON → OFF 변경 후 일기 자동 생성 완료,해당 유형 알림 미수신 / 알림 탭 내역 미기록,P1,기획서기반,로그인 상태 / 일기 생성 알림 ON 상태,NT,N,AC-2 직접 변환
TC-058,알림,엣지,OS 알림 권한 거부 상태에서 앱 내 좋아요 알림 ON 변경 시도,"""알림 수신을 위해 기기 설정에서 알림 권한을 허용해 주세요"" 팝업 + [설정으로 이동] 버튼 제공",P1,기획서기반,OS 알림 권한 거부 상태,NT,N,AC-3 직접 변환
TC-059,알림,엣지,전체 알림 OFF 상태에서 서비스 긴급 공지 발송,앱 내 상단 고정 배너 노출 + 등록 이메일로 별도 발송,P1,기획서기반,로그인 상태 / 전체 알림 OFF,NT,N,AC-4 직접 변환 / 긴급 공지 강제 발송 명시
TC-060,알림,해피,이메일 알림 채널 선택 후 알림 이벤트 발생,이메일로 알림 정상 수신,P1,기획서기반,로그인 상태 / 이메일 알림 채널 선택,NT,N,이메일 알림 채널 선택 가능 명시
TC-061,알림,해피,알림 설정 ON → OFF 변경 즉시 반영 확인,설정 변경 완료 즉시 적용 / 로딩 스피너 후 정상 반영,P1,기획서기반,로그인 상태,NT,N,설정 변경 즉시 반영 명시
TC-062,알림,엣지,알림 0건 상태에서 알림 탭 진입,"""아직 알림이 없어요"" 문구 노출",P2,기획서기반,신규 가입 또는 전체 알림 수신 없음,NT,N,v2 빈 상태 화면 정의 명시
TC-063,알림,엣지,OS 알림 권한 거부 + 앱 내 알림 ON 불일치 상태에서 실제 알림 이벤트 발생,OS 권한 요청 팝업 노출 / 권한 허용 전까지 실제 알림 미수신,P1,기획서기반,OS 알림 권한 거부 / 앱 내 알림 ON 설정,NT,N,v2 수치·정책 기준 명시
TC-064,알림,엣지,앱 백그라운드 상태에서 좋아요 알림 이벤트 발생,기기 잠금 화면에 푸시 정상 수신 / 앱 내 알림 탭에 내역 기록,P1,AI추가,로그인 상태 / 좋아요 알림 ON / 앱 백그라운드,NT,Y,포어그라운드/백그라운드 알림 동작 차이 기획서 미명시
TC-065,알림,해피,읽지 않은 알림 클릭 후 읽음 상태 전환 확인,읽음 표시(배지·하이라이트 해제) 정상 반영,P2,기획서기반,로그인 상태 / 읽지 않은 알림 1건 이상,NT,N,읽음/안읽음 표시 정상 상태 명시
TC-066,계정 및 인증,해피,"미사용 이메일·8자 이상 비밀번호·2~15자 닉네임 입력 후 24시간 내 인증 링크 클릭","""이메일 인증이 완료되었습니다"" 토스트 노출 / 앱 내 로그인 상태로 자동 전환",P0,기획서기반,미가입 이메일 / 만 14세 이상,NT,N,AC-1 직접 변환
TC-067,계정 및 인증,인해피,이미 가입된 이메일로 신규 가입 시도,"이메일 필드 하단 ""이미 사용 중인 이메일입니다"" 인라인 오류 + ""로그인하기"" 링크 노출 / 가입 진행 불가",P1,기획서기반,가입된 이메일 존재,NT,N,AC-2 직접 변환
TC-068,계정 및 인증,엣지,인증 메일 발송 24시간 초과 후 만료된 링크 클릭,"""인증 링크가 만료되었습니다"" 안내 화면 + [인증 메일 재발송] 버튼 제공",P1,기획서기반,24시간 초과된 인증 메일 링크,NT,N,AC-3 직접 변환 / v1 AI추가→v2 기획서기반 전환
TC-069,계정 및 인증,엣지,이메일 계정으로 가입된 이메일과 동일 이메일로 소셜 로그인 시도,"""해당 이메일은 이미 이메일 계정으로 가입되어 있습니다. 이메일 로그인을 이용해 주세요"" 안내 팝업 / 소셜 로그인 차단",P0,기획서기반,이메일 계정 가입 완료,NT,N,AC-4 직접 변환 / v1 AI추가→v2 기획서기반 전환
TC-070,계정 및 인증,엣지,계정 삭제 후 30일 이내 동일 이메일로 재가입 시도,"""이전에 사용하던 계정이 있습니다. 계정을 복구하시겠습니까?"" 팝업 → [복구하기] 시 기존 데이터 복원 / [새 계정 만들기] 시 신규 가입",P1,기획서기반,계정 삭제 후 30일 이내,NT,N,AC-5 직접 변환
TC-071,계정 및 인증,엣지,"계정 삭제 최종 처리 중 앱 강제 종료 후 재진입(삭제 미완료)","정상 로그인 상태 유지 / 데이터 정합성 손상 없음",P0,기획서기반,삭제 비밀번호 재확인 완료 / 최종 처리 단계 강제 종료,NT,N,AC-6 미완료 분기 / 원자성 보장 명시
TC-072,계정 및 인증,엣지,계정 삭제 처리 완료 후 앱 강제 종료 → 재진입,"""계정이 삭제되었습니다"" 안내 후 로그인 화면 이동 / 데이터 정합성 손상 없음",P0,기획서기반,삭제 처리 완료 직후 앱 강제 종료,NT,N,AC-6 완료 분기 / v1 AI추가→v2 기획서기반 전환
TC-073,계정 및 인증,해피,구글 소셜 로그인 정상 진행,소셜 로그인 완료 / 홈 화면 이동,P0,기획서기반,미가입 구글 계정,NT,N,소셜 로그인(구글/애플/카카오) 지원 명시
TC-074,계정 및 인증,인해피,"비밀번호 8자 미만(예: 7자) 입력 후 가입 시도","비밀번호 필드 오류 메시지 노출 / 가입 진행 불가",P1,기획서기반,가입 화면,NT,N,비밀번호 최소 8자 경계값 검증
TC-075,계정 및 인증,인해피,닉네임 1자(2자 미만) 입력 후 가입 시도,닉네임 필드 오류 메시지 노출 / 가입 진행 불가,P1,기획서기반,가입 화면,NT,N,닉네임 2~15자 경계값 최솟값 검증
TC-076,계정 및 인증,인해피,닉네임 16자(15자 초과) 입력 시도,15번째 글자 이후 입력 차단,P1,기획서기반,가입 화면,NT,N,닉네임 최대 글자 경계값 검증
TC-077,계정 및 인증,해피,"현재 비밀번호 확인 후 신규 비밀번호(8자 이상)로 변경","비밀번호 변경 완료 / 신규 비밀번호로 재로그인 성공",P1,기획서기반,로그인 상태,NT,N,비밀번호 변경 기능 명시
TC-078,계정 및 인증,인해피,비밀번호 변경 시 현재 비밀번호 오입력,"""비밀번호가 올바르지 않습니다"" 인라인 오류 노출 / 변경 진행 불가",P1,기획서기반,로그인 상태,NT,N,화면 상태 에러 케이스 직접 변환
TC-079,계정 및 인증,엣지,계정 삭제 후 30일 초과 후 동일 이메일로 재가입,신규 계정으로 정상 가입 진행 / 복구 팝업 미노출,P1,기획서기반,계정 삭제 후 30일 초과,NT,N,AC-5 30일 이내 조건 반대 케이스
TC-080,계정 및 인증,엣지,동일 닉네임으로 가입된 계정 존재 시 동일 닉네임으로 재가입 시도,닉네임 중복 차단 안내 또는 허용 처리 확인,P1,AI추가,동일 닉네임 가입 계정 존재,NT,Y,닉네임 중복 허용 여부 기획서 미명시
TC-081,계정 및 인증,엣지,"계정 완전 삭제(30일 경과) 후 동일 이메일 재사용 가입 시도","신규 계정으로 정상 가입 가능 / 이전 삭제 계정 이메일과 충돌 없음",P1,AI추가,계정 삭제 후 31일 경과,NT,Y,영구 삭제 후 이메일 재사용 정책 미명시 (30일 이내 복구만 AC 명시)
TC-082,계정 및 인증,엣지,만 14세 미만 생년월일 입력 후 가입 시도,가입 차단 + 만 14세 이상만 가입 가능 안내 노출,P1,기획서기반,가입 화면,NT,N,최소 가입 연령 14세 명시
